ID,Job Title,Publishing Date,Start Date,Salary,Duration,Location,Work Mode,Skills,Description,Plateforme,Scrap Date,Company Name,Number of Candidates,Number of Employees,Sector,Description E,Experience,Contract Type,Education
1,Line Supervisor,2025-07-21T13:40:46Z,N/A,44212.51 - 44212.51,N/A,"Leamouth, East London",On-site,N/A,"LOCATION: Stations TFL SHIFT PATTERN: 6,On 1 off. Tuesday rest day. WORKING HOURS: 42 HOURS PER WEEK PAY RATE: £15.02 PER HOUR If you require any additional support or adjustments during the recruitment process, please don't hesitate to contact our Recruitment Department at recruitment@abm.com . We're here to help! KEY RESPONSIBILITIES · Apply and conduct oneself at all times in accordance with the site Assignment and Emergency Instructions · Provide support to the Periodic and Fault team and t…",Adzuna,2025-07-21,ABM UK,N/A,N/A,Maintenance Jobs,"LOCATION: Stations TFL SHIFT PATTERN: 6,On 1 off. Tuesday rest day. WORKING HOURS: 42 HOURS PER WEEK PAY RATE: £15.02 PER HOUR If you require any additional support or adjustments during the recruitment process, please don't hesitate to contact our Recruitment Department at recruitment@abm.com . We're here to help! KEY RESPONSIBILITIES · Apply and conduct oneself at all times in accordance with the site Assignment and Emergency Instructions · Provide support to the Periodic and Fault team and t…",N/A,N/A,N/A
2,Stock Operations Manager,2025-07-21T13:40:46Z,N/A,36958.31 - 36958.31,N/A,"Birmingham, West Midlands",On-site,N/A,"Stock Operations Manager, Selfridges Birmingham Part-time 24 hours About the Charlotte Tilbury Beauty Founded by British makeup artist and beauty entrepreneur Charlotte Tilbury MBE in 2013, Charlotte Tilbury Beauty has revolutionised the face of the global beauty industry by de-coding makeup applications for everyone, everywhere, with an easy-to-use, easy-to-choose, easy-to-gift range. Today, Charlotte Tilbury Beauty continues to break records across countries, channels, and categories and to s…",Adzuna,2025-07-21,Charlotte Tilbury,N/A,N/A,Retail Jobs,"Stock Operations Manager, Selfridges Birmingham Part-time 24 hours About the Charlotte Tilbury Beauty Founded by British makeup artist and beauty entrepreneur Charlotte Tilbury MBE in 2013, Charlotte Tilbury Beauty has revolutionised the face of the global beauty industry by de-coding makeup applications for everyone, everywhere, with an easy-to-use, easy-to-choose, easy-to-gift range. Today, Charlotte Tilbury Beauty continues to break records across countries, channels, and categories and to s…",N/A,N/A,N/A
3,Digital Trading Administrator,2025-07-21T13:40:46Z,N/A,27631.86 - 27631.86,N/A,"Farringdon, Central London",On-site,N/A,"Kurt Geiger | About Us We are an inclusive, creative footwear and accessories brand powered by kindness. We want to empower our talent to be confident and true to themselves, the London way. London is our home, our heartbeat, and we draw inspiration from the energy and spirit of the city; its diversity and creativity. For over fifty years our team of in-house shoe and accessory designers have been creating authentic, distinctive designs from our London headquarters. The rainbow is our signature…",Adzuna,2025-07-21,Kurt Geiger,N/A,N/A,Retail Jobs,"Kurt Geiger | About Us We are an inclusive, creative footwear and accessories brand powered by kindness. We want to empower our talent to be confident and true to themselves, the London way. London is our home, our heartbeat, and we draw inspiration from the energy and spirit of the city; its diversity and creativity. For over fifty years our team of in-house shoe and accessory designers have been creating authentic, distinctive designs from our London headquarters. The rainbow is our signature…",N/A,N/A,N/A
4,Content Producer,2025-07-21T13:40:46Z,N/A,30423.23 - 30423.23,N/A,"Dundee, Scotland",On-site,N/A,"An exciting opportunity has risen in DC Thomson’s vibrant comics department! ABOUT DC THOMSON At DC Thomson we are a business with a purpose—to make a positive impact on the communities we serve. Deeply rooted in our communities, we are investing in data, technology and talent to unlock a new level of understanding about what really matters to our customers. This is how we are shaping the future of media. We’ve changed the way we work to create a flexible, collaborative, learning-led culture th…",Adzuna,2025-07-21,DC Thomson,N/A,N/A,Creative & Design Jobs,"An exciting opportunity has risen in DC Thomson’s vibrant comics department! ABOUT DC THOMSON At DC Thomson we are a business with a purpose—to make a positive impact on the communities we serve. Deeply rooted in our communities, we are investing in data, technology and talent to unlock a new level of understanding about what really matters to our customers. This is how we are shaping the future of media. We’ve changed the way we work to create a flexible, collaborative, learning-led culture th…",N/A,contract,N/A
5,Head of Marketing UK & ANZ,2025-07-21T13:40:43Z,N/A,71211.29 - 71211.29,N/A,"London, UK",On-site,N/A,"About Charlotte Tilbury Beauty Founded by British makeup artist and beauty entrepreneur Charlotte Tilbury MBE in 2013, Charlotte Tilbury Beauty has revolutionised the face of the global beauty industry by de-coding makeup applications for everyone, everywhere, with an easy-to-use, easy-to-choose, easy-to-gift range. Today, Charlotte Tilbury Beauty continues to break records across countries, channels, and categories and to scale at pace. Over the last 10 years, Charlotte Tilbury Beauty has expe…",Adzuna,2025-07-21,Charlotte Tilbury,N/A,N/A,"PR, Advertising & Marketing Jobs","About Charlotte Tilbury Beauty Founded by British makeup artist and beauty entrepreneur Charlotte Tilbury MBE in 2013, Charlotte Tilbury Beauty has revolutionised the face of the global beauty industry by de-coding makeup applications for everyone, everywhere, with an easy-to-use, easy-to-choose, easy-to-gift range. Today, Charlotte Tilbury Beauty continues to break records across countries, channels, and categories and to scale at pace. Over the last 10 years, Charlotte Tilbury Beauty has expe…",N/A,N/A,N/A
6,Operations Manager- Admissions (Contract),2025-07-21T13:40:43Z,N/A,31238 - 31238,N/A,"Leeds, West Yorkshire",On-site,N/A,"Role title : Operations Manager Contract: 12 month Fixed Term Contract, with potential to be extended to permanent contract Salary: £31,238 Closing Date: Monday 4th August, 9am Working hours: 40 hours per week; Full-time; Permanent Standard working hours are 9am - 6pm (with 1 hour unpaid lunch break) with the option to flex-start and end time. We offer flexibility to employees to balance their commitments, including medical appointments, parental or caregiving responsibilities, and personal goa…",Adzuna,2025-07-21,Generation UK & Ireland,N/A,N/A,Teaching Jobs,"Role title : Operations Manager Contract: 12 month Fixed Term Contract, with potential to be extended to permanent contract Salary: £31,238 Closing Date: Monday 4th August, 9am Working hours: 40 hours per week; Full-time; Permanent Standard working hours are 9am - 6pm (with 1 hour unpaid lunch break) with the option to flex-start and end time. We offer flexibility to employees to balance their commitments, including medical appointments, parental or caregiving responsibilities, and personal goa…",N/A,contract,N/A
7,Head of Developer Productivity,2025-07-21T13:40:43Z,N/A,120000 - 120000,N/A,UK,On-site,N/A,"Location: Remote Salary: £100,000 - £120,000 About us At Arbor, we’re on a mission to transform the way schools work for the better. We believe in a future of work in schools where being challenged doesn’t mean being burnt out and overworked. Where data guides progress without overwhelming staff. And where everyone working in a school is reminded why they got into education every day. Our MIS and school management tools are already making a difference in over 7,000 schools and trusts. Giving ti…",Adzuna,2025-07-21,Arbor Education,N/A,N/A,IT Jobs,"Location: Remote Salary: £100,000 - £120,000 About us At Arbor, we’re on a mission to transform the way schools work for the better. We believe in a future of work in schools where being challenged doesn’t mean being burnt out and overworked. Where data guides progress without overwhelming staff. And where everyone working in a school is reminded why they got into education every day. Our MIS and school management tools are already making a difference in over 7,000 schools and trusts. Giving ti…",N/A,N/A,N/A
8,Leadership Development Junior Manager,2025-07-21T13:40:40Z,N/A,28000 - 35000,N/A,"London, UK",On-site,N/A,"Term: Full time Reporting to: Leadership Development Manager T– Summary Helping leaders evolve faster than the world around them. We’re up to something incredibly exciting at T–. We’re on a mission to impact 1m leaders at pioneering businesses, whilst building a rule breaking culture and practise for our people - attracting, growing and rewarding exceptional talent. Forged in the fires of startups and some of the most successful companies in the world, we specialise in developing leaders in env…",Adzuna,2025-07-21,T-minus,N/A,N/A,HR & Recruitment Jobs,"Term: Full time Reporting to: Leadership Development Manager T– Summary Helping leaders evolve faster than the world around them. We’re up to something incredibly exciting at T–. We’re on a mission to impact 1m leaders at pioneering businesses, whilst building a rule breaking culture and practise for our people - attracting, growing and rewarding exceptional talent. Forged in the fires of startups and some of the most successful companies in the world, we specialise in developing leaders in env…",N/A,N/A,N/A
9,Assistant Manager - 40 Hours - Sweaty Betty,2025-07-21T13:38:32Z,N/A,41634.1 - 41634.1,N/A,"Portsmouth, Hampshire",On-site,N/A,"Assistant Manager - 40 Hours - Sweaty Betty Current employees, please apply in .Wolverine Worldwide is a global marketer of branded footwear, apparel, and accessories. With an established global footprint that spans approximately 200 countries and territories, as well as a rock-solid infrastructure, Wolverine Worldwide is dedicated to advancing the following brands that comprise the ever expanding portfolio: Bates, Chaco, Cat Footwear, Harley Davidson Footwear, Merrell, Saucony, Sweaty Betty an…",Adzuna,2025-07-21,Wolverine Worldwide,N/A,N/A,Retail Jobs,"Assistant Manager - 40 Hours - Sweaty Betty Current employees, please apply in .Wolverine Worldwide is a global marketer of branded footwear, apparel, and accessories. With an established global footprint that spans approximately 200 countries and territories, as well as a rock-solid infrastructure, Wolverine Worldwide is dedicated to advancing the following brands that comprise the ever expanding portfolio: Bates, Chaco, Cat Footwear, Harley Davidson Footwear, Merrell, Saucony, Sweaty Betty an…",N/A,N/A,N/A
10,"Sales Associate (Part time, Permanent)",2025-07-21T13:38:30Z,N/A,36463.55 - 36463.55,N/A,UK,On-site,N/A,"Sales Associate (Part time, Permanent) What’s the role about? Joining us as a sales advisor on a permanent basis, part time hours , you’ll be supporting us to provide exceptional customer service in our stores to customers and to support our management team in achieving sales targets. What you’ll be doing • Providing exceptional service to our customers in store • Communicating effectively with customers, team members and management • Packing stock carefully to send out to our customers • Actin…",Adzuna,2025-07-21,REISS,N/A,N/A,Part time Jobs,"Sales Associate (Part time, Permanent) What’s the role about? Joining us as a sales advisor on a permanent basis, part time hours , you’ll be supporting us to provide exceptional customer service in our stores to customers and to support our management team in achieving sales targets. What you’ll be doing • Providing exceptional service to our customers in store • Communicating effectively with customers, team members and management • Packing stock carefully to send out to our customers • Actin…",N/A,permanent,N/A
